Week,Sales_Actual,Sales_Forecast,Error_Pct,Alerts,Actions
2024-04-14,477.6652136,454.40403334829375,4.8697664367046265, All indicators are within the range., Continue maintaining the current campaign.
2024-04-21,434.5840391,410.6684234362293,5.503104926103272, All indicators are within the range., Continue maintaining the current campaign.
2024-04-28,421.8111272,410.8789526983282,2.591722644739135,CPA UP mutation 19% compared to four weeks ago; ROAS DOWN mutation 16% compared to four weeks ago, Check the traffic quality. |  Consider shifting your budget to a more effective channel.
2024-05-05,452.6309936,436.7567323942489,3.5071087553009117,CPC_Avg DOWN mutation 19% compared to four weeks ago; CPA DOWN mutation 25% compared to four weeks ago; ROAS UP mutation 32% compared to four weeks ago, Reduce budget or optimize targeting. |  Check the traffic quality. |  Consider shifting your budget to a more effective channel.
2024-05-12,387.2050597,398.15883167032916,-2.8289330668395634, All indicators are within the range., Continue maintaining the current campaign.
2024-05-19,427.5938199,424.7162518917445,0.6729676329111829,CPC_Avg DOWN mutation 16% compared to four weeks ago; CPA DOWN mutation 29% compared to four weeks ago; ROAS UP mutation 38% compared to four weeks ago; CR_Calculated UP mutation 18% compared to four weeks ago," Reduce budget or optimize targeting. |  Check the traffic quality. |  Consider shifting your budget to a more effective channel. |  A/B test landing page, check the registration form"
2024-05-26,460.4951013,447.24851093424843,2.8765974552944846,"CPC too high (3đ > threshold 3đ, +4%); CPC_Avg UP mutation 26% compared to four weeks ago; CPA UP mutation 39% compared to four weeks ago; ROAS DOWN mutation 31% compared to four weeks ago", Reduce budget or optimize targeting. |  Check the traffic quality. |  Consider shifting your budget to a more effective channel.
2024-06-02,394.9530679,399.02219777745205,-1.0302818760436427,"CR too low (8.85% < threshold 9.11%, -3%)"," A/B test landing page, check the registration form"
2024-06-09,358.9228357,389.6042935896719,-8.548204471257579, All indicators are within the range., Continue maintaining the current campaign.
2024-06-16,365.5091571,374.8105474814356,-2.5447762937689817,CPC_Avg DOWN mutation 18% compared to four weeks ago; CPA DOWN mutation 17% compared to four weeks ago; ROAS UP mutation 15% compared to four weeks ago, Reduce budget or optimize targeting. |  Check the traffic quality. |  Consider shifting your budget to a more effective channel.
2024-06-23,405.7697218,381.62112785214026,5.951305050740666,CR_Calculated UP mutation 16% compared to four weeks ago," A/B test landing page, check the registration form"
2024-06-30,349.2816772,387.03512810464855,-10.80888388056806,"CPA too high (34đ > threshold 32đ, +7%); ROAS too low (0.03x < threshold 0.03x, -7%); ROI too low (-97.1% < threshold -96.9%, --0%); CR too low (7.99% < threshold 9.11%, -12%); CPC_Avg UP mutation 19% compared to four weeks ago; CPA UP mutation 42% compared to four weeks ago; ROAS DOWN mutation 30% compared to four weeks ago; CR_Calculated DOWN mutation 17% compared to four weeks ago"," Reduce budget or optimize targeting. |  Check the traffic quality. |  Consider shifting your budget to a more effective channel. |  A/B test landing page, check the registration form"
2024-07-07,413.5583297,392.48491987861155,5.09563181490634,"CR too low (8.86% < threshold 9.11%, -3%)"," A/B test landing page, check the registration form"
2024-07-14,350.4662364,393.84932840792885,-12.378679456703532,"CPC too high (3đ > threshold 3đ, +1%); CPA too high (36đ > threshold 32đ, +12%); ROAS too low (0.03x < threshold 0.03x, -11%); ROI too low (-97.2% < threshold -96.9%, --0%); CR too low (8.06% < threshold 9.11%, -12%); CPC_Avg UP mutation 18% compared to four weeks ago; CPA UP mutation 34% compared to four weeks ago; ROAS DOWN mutation 28% compared to four weeks ago"," Reduce budget or optimize targeting. |  Check the traffic quality. |  Consider shifting your budget to a more effective channel. |  A/B test landing page, check the registration form"
2024-07-21,399.4848565,398.7871472666701,0.17465223574247657,"CPC too high (3đ > threshold 3đ, +5%); CPA too high (37đ > threshold 32đ, +15%); ROAS too low (0.03x < threshold 0.03x, -13%); ROI too low (-97.3% < threshold -96.9%, --0%); CR too low (8.17% < threshold 9.11%, -10%); CPA UP mutation 21% compared to four weeks ago; ROAS DOWN mutation 20% compared to four weeks ago"," Reduce budget or optimize targeting. |  Check the traffic quality. |  Consider shifting your budget to a more effective channel. |  A/B test landing page, check the registration form"
2024-07-28,403.8182692,385.5734117216871,4.51808619616383,CPC_Avg DOWN mutation 29% compared to four weeks ago; CPA DOWN mutation 37% compared to four weeks ago; ROAS UP mutation 56% compared to four weeks ago, Reduce budget or optimize targeting. |  Check the traffic quality. |  Consider shifting your budget to a more effective channel.
2024-08-04,424.1277412,417.47976394562335,1.5674469289764663,CPA DOWN mutation 26% compared to four weeks ago; ROAS UP mutation 29% compared to four weeks ago; CR_Calculated UP mutation 18% compared to four weeks ago," Check the traffic quality. |  Consider shifting your budget to a more effective channel. |  A/B test landing page, check the registration form"
2024-08-11,377.4319867,386.96372433883033,-2.525418611752852,"CR too low (8.05% < threshold 9.11%, -12%)"," A/B test landing page, check the registration form"
2024-08-18,359.9856451,385.14097942321746,-6.987871506995671,"CR too low (8.61% < threshold 9.11%, -5%)"," A/B test landing page, check the registration form"
2024-08-25,401.4083226,396.8475041282975,1.1362042625726396,"CPC too high (3đ > threshold 3đ, +15%); CPA too high (36đ > threshold 32đ, +14%); ROAS too low (0.03x < threshold 0.03x, -12%); ROI too low (-97.3% < threshold -96.9%, --0%); CR too low (9.07% < threshold 9.11%, -0%); CPC_Avg UP mutation 44% compared to four weeks ago; CPA UP mutation 42% compared to four weeks ago; ROAS DOWN mutation 31% compared to four weeks ago"," Reduce budget or optimize targeting. |  Check the traffic quality. |  Consider shifting your budget to a more effective channel. |  A/B test landing page, check the registration form"
2024-09-01,433.0483132,444.1278958952861,-2.5585096067950905,"CPC too high (4đ > threshold 3đ, +23%); CPA too high (37đ > threshold 32đ, +17%); ROAS too low (0.03x < threshold 0.03x, -14%); ROI too low (-97.3% < threshold -96.9%, --0%); CPC_Avg UP mutation 34% compared to four weeks ago; CPA UP mutation 27% compared to four weeks ago; ROAS DOWN mutation 24% compared to four weeks ago", Reduce budget or optimize targeting. |  Check the traffic quality. |  Consider shifting your budget to a more effective channel.
2024-09-08,398.3595587,401.8424029001036,-0.8742966307798589,"CPC too high (3đ > threshold 3đ, +3%); CPA too high (33đ > threshold 32đ, +4%); ROAS too low (0.03x < threshold 0.03x, -4%); ROI too low (-97.0% < threshold -96.9%, --0%); CR too low (8.88% < threshold 9.11%, -3%)"," Reduce budget or optimize targeting. |  Check the traffic quality. |  Consider shifting your budget to a more effective channel. |  A/B test landing page, check the registration form"
2024-09-15,396.8379746,398.96980562343947,-0.5372043906806782,"CR too low (8.86% < threshold 9.11%, -3%); CPC_Avg DOWN mutation 24% compared to four weeks ago; CPA DOWN mutation 23% compared to four weeks ago; ROAS UP mutation 29% compared to four weeks ago"," Reduce budget or optimize targeting. |  Check the traffic quality. |  Consider shifting your budget to a more effective channel. |  A/B test landing page, check the registration form"
2024-09-22,424.6617717,431.9456776555272,-1.7152252547641424,CPC_Avg DOWN mutation 34% compared to four weeks ago; CPA DOWN mutation 40% compared to four weeks ago; ROAS UP mutation 62% compared to four weeks ago, Reduce budget or optimize targeting. |  Check the traffic quality. |  Consider shifting your budget to a more effective channel.
2024-09-29,413.9665723,382.70180107964825,7.552486918604212,CPA DOWN mutation 24% compared to four weeks ago; ROAS UP mutation 24% compared to four weeks ago, Check the traffic quality. |  Consider shifting your budget to a more effective channel.
2024-10-06,436.2008672,421.47043056288453,3.376984720748275,CPA DOWN mutation 25% compared to four weeks ago; ROAS UP mutation 28% compared to four weeks ago; CR_Calculated UP mutation 17% compared to four weeks ago," Check the traffic quality. |  Consider shifting your budget to a more effective channel. |  A/B test landing page, check the registration form"
2024-10-13,308.9691017,372.270751411619,-20.488019469688933,CPC_Avg DOWN mutation 20% compared to four weeks ago; Sales were lower than expected 20%, Reduce budget or optimize targeting.
2024-10-20,416.9838907,403.14870886115875,3.3179175856448175,"CR too low (9.10% < threshold 9.11%, -0%); CPC_Avg UP mutation 30% compared to four weeks ago; CPA UP mutation 47% compared to four weeks ago; ROAS DOWN mutation 32% compared to four weeks ago"," Reduce budget or optimize targeting. |  Check the traffic quality. |  Consider shifting your budget to a more effective channel. |  A/B test landing page, check the registration form"
2024-10-27,366.0483042,393.41925889330065,-7.477416062101411, All indicators are within the range., Continue maintaining the current campaign.
2024-11-03,454.4552872,411.3024492464691,9.495507956218335,CPC_Avg UP mutation 32% compared to four weeks ago; CPA UP mutation 39% compared to four weeks ago; ROAS DOWN mutation 31% compared to four weeks ago, Reduce budget or optimize targeting. |  Check the traffic quality. |  Consider shifting your budget to a more effective channel.
2024-11-10,410.2804953,417.7056961776516,-1.8097864662618792,"CR too low (8.72% < threshold 9.11%, -4%); CPC_Avg UP mutation 19% compared to four weeks ago; CPA UP mutation 26% compared to four weeks ago; ROAS DOWN mutation 24% compared to four weeks ago"," Reduce budget or optimize targeting. |  Check the traffic quality. |  Consider shifting your budget to a more effective channel. |  A/B test landing page, check the registration form"
2024-11-17,448.4941965,451.72472605468744,-0.7203057653584265,CR_Calculated UP mutation 18% compared to four weeks ago," A/B test landing page, check the registration form"
2024-11-24,405.7680165,410.1811862112039,-1.087609060287757, All indicators are within the range., Continue maintaining the current campaign.
2024-12-01,444.6132994,420.3036767335043,5.467587834034936,"CPC too high (3đ > threshold 3đ, +1%)", Reduce budget or optimize targeting.
2024-12-08,381.4875293,411.4243987428948,-7.847404474224007,"CR too low (9.09% < threshold 9.11%, -0%)"," A/B test landing page, check the registration form"
2024-12-15,381.3713212,395.04749151630426,-3.586051062589509,CPC_Avg DOWN mutation 32% compared to four weeks ago; CPA DOWN mutation 33% compared to four weeks ago; ROAS UP mutation 48% compared to four weeks ago, Reduce budget or optimize targeting. |  Check the traffic quality. |  Consider shifting your budget to a more effective channel.
2024-12-22,398.4054926,408.666850286324,-2.5756064805628647,"CPC too high (3đ > threshold 3đ, +6%); CPA too high (32đ > threshold 32đ, +1%); ROAS too low (0.03x < threshold 0.03x, -1%); ROI too low (-96.9% < threshold -96.9%, --0%); CPC_Avg UP mutation 29% compared to four weeks ago; CPA UP mutation 32% compared to four weeks ago; ROAS DOWN mutation 27% compared to four weeks ago", Reduce budget or optimize targeting. |  Check the traffic quality. |  Consider shifting your budget to a more effective channel.
2024-12-29,383.4303404,404.8929475320391,-5.597524470715862, All indicators are within the range., Continue maintaining the current campaign.
2025-01-05,460.4780178,426.9975536873918,7.270806166289087,"CPC too high (4đ > threshold 3đ, +29%); CPA too high (37đ > threshold 32đ, +16%); ROAS too low (0.03x < threshold 0.03x, -14%); ROI too low (-97.3% < threshold -96.9%, --0%); CPC_Avg UP mutation 52% compared to four weeks ago; CPA UP mutation 44% compared to four weeks ago; ROAS DOWN mutation 34% compared to four weeks ago", Reduce budget or optimize targeting. |  Check the traffic quality. |  Consider shifting your budget to a more effective channel.
2025-01-12,428.2131385,427.6849521300629,0.1233466053347377,"CPC too high (4đ > threshold 3đ, +23%); CPA too high (37đ > threshold 32đ, +17%); ROAS too low (0.03x < threshold 0.03x, -14%); ROI too low (-97.3% < threshold -96.9%, --0%); CPC_Avg UP mutation 27% compared to four weeks ago; CPA UP mutation 30% compared to four weeks ago; ROAS DOWN mutation 29% compared to four weeks ago", Reduce budget or optimize targeting. |  Check the traffic quality. |  Consider shifting your budget to a more effective channel.
2025-01-19,397.9823611,422.63627847504347,-6.1947261448727255,"CPA too high (33đ > threshold 32đ, +2%); ROAS too low (0.03x < threshold 0.03x, -2%); ROI too low (-96.9% < threshold -96.9%, --0%); CR too low (8.59% < threshold 9.11%, -6%)"," Check the traffic quality. |  Consider shifting your budget to a more effective channel. |  A/B test landing page, check the registration form"
2025-01-26,459.0890104,424.93966919091866,7.438501126247248,"CPC too high (3đ > threshold 3đ, +15%); CPA too high (36đ > threshold 32đ, +13%); ROAS too low (0.03x < threshold 0.03x, -12%); ROI too low (-97.2% < threshold -96.9%, --0%)", Reduce budget or optimize targeting. |  Check the traffic quality. |  Consider shifting your budget to a more effective channel.
2025-02-02,464.0956669,416.65530472619605,10.222108405081507,CPC_Avg DOWN mutation 29% compared to four weeks ago; CPA DOWN mutation 33% compared to four weeks ago; ROAS UP mutation 49% compared to four weeks ago, Reduce budget or optimize targeting. |  Check the traffic quality. |  Consider shifting your budget to a more effective channel.
2025-02-09,397.6624097,397.66966326113993,-0.0018240499888815438,CPC_Avg DOWN mutation 35% compared to four weeks ago; CPA DOWN mutation 42% compared to four weeks ago; ROAS UP mutation 68% compared to four weeks ago, Reduce budget or optimize targeting. |  Check the traffic quality. |  Consider shifting your budget to a more effective channel.
2025-02-16,416.390038,440.53554203925984,-5.798770824401863, All indicators are within the range., Continue maintaining the current campaign.
2025-02-23,387.0736367,398.57219171834737,-2.970637606936603,"CR too low (8.93% < threshold 9.11%, -2%)"," A/B test landing page, check the registration form"
